[0, "No Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 3433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], _
[1, "Healing Signet", 0, 0, 0, 7, 128, 0, 0, 4, 0, 0, 1, 21, 3433, 0, 0, 1, 0, 2, 0.75, 0, 0, 4, 82, 172, 0, 0, 0, 0], _
[2, "Resurrection Signet", 0, 0, 0, 7, 2048, 0, 0, 16, 0, 0, 0, 51, 3433, 0, 6, 1, 0, 3, 0, 0, 0, 0, 100, 100, 25, 25, 0, 0], _
[3, "Signet of Capture", 0, 0, 0, 7, 524304, 0, 0, 0, 0, 0, 0, 51, 3433, 0, 0, 1, 0, 2, 0.25, 0, 0, 2, 0, 0, 0, 0, 2000, 0], _
[4, "BAMPH", 0, 0, 0, 10, 16384, 0, 0, 0, 0, 0, 0, 51, 3433, 0, 1, 2, 0, 0, 0, 0, 0, 0, 999, 999, 0, 0, 0, 0], _
[5, "Power Block", 15, 19.5, 1, 5, 4, 0, 0, 1, 0, 0, 5, 2, 3433, 0, 5, 1, 0, 0.25, 0.75, 0, 0, 20, 1, 12, 0, 0, 0, 0], _
[6, "Mantra of Earth", 10, 13, 0, 3, 0, 0, 0, 0, 0, 0, 5, 3, 3433, 0, 0, 1, 0, 0, 0, 30, 90, 20, 26, 50, 2, 2, 0, 0], _
[7, "Mantra of Flame", 10, 13, 0, 3, 0, 0, 0, 0, 0, 0, 5, 3, 3433, 0, 0, 1, 0, 0, 0, 30, 90, 20, 26, 50, 2, 2, 0, 0], _
[8, "Mantra of Frost", 10, 13, 0, 3, 0, 0, 0, 0, 0, 0, 5, 3, 3433, 0, 0, 1, 0, 0, 0, 30, 90, 20, 26, 50, 2, 2, 0, 0], _
[9, "Mantra of Lightning", 10, 13, 0, 3, 0, 0, 0, 0, 0, 0, 5, 3, 3433, 0, 0, 1, 0, 0, 0, 30, 90, 20, 26, 50, 2, 2, 0, 0], _
[10, "Hex Breaker", 5, 6.5, 0, 3, 0, 0, 0, 0, 0, 0, 5, 2, 3433, 0, 0, 1, 0, 0, 0, 5, 80, 15, 10, 46, 0, 0, 0, 0], _
[11, "Distortion", 5, 6.5, 1, 3, 0, 0, 0, 128, 0, 0, 5, 1, 3433, 0, 0, 1, 0, 0, 0, 1, 5, 8, 75, 75, 2, 2, 0, 0], _
[12, "Mantra of Celerity", 15, 19.5, 1, 3, 4, 0, 0, 0, 0, 0, 5, 0, 3433, 0, 0, 2, 0, 0, 0, 30, 90, 20, 50, 50, 3, 3, 0, 0], _
[13, "Mantra of Recovery", 5, 6.5, 0, 3, 4, 0, 0, 0, 0, 0, 5, 0, 3433, 0, 0, 1, 0, 0, 0, 5, 20, 15, 33, 33, 0, 0, 0, 0], _
